epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1137.57,1.37453,0.89461,1.20369,0.91961,0.81379,0.90316,0.51849,1.41549,0.85013,1.28872,0.001703,0.001703,0.001703
17,1208.19,1.32087,0.85835,1.18075,0.86758,0.78621,0.82883,0.42295,1.61095,0.96493,1.38029,0.0016832,0.0016832,0.0016832
18,1280.44,1.32991,0.84617,1.18334,0.89554,0.84138,0.91681,0.54064,1.40532,0.83519,1.31545,0.0016634,0.0016634,0.0016634
19,1350.2,1.29269,0.82062,1.15857,0.8385,0.8069,0.86791,0.46631,1.52984,0.9996,1.32237,0.0016436,0.0016436,0.0016436
20,1420.03,1.35407,0.86129,1.16563,0.92713,0.78621,0.90894,0.53509,1.37729,0.79417,1.24243,0.0016238,0.0016238,0.0016238
21,1491.55,1.25872,0.77153,1.15774,0.82922,0.86897,0.92246,0.53747,1.35329,0.8326,1.25409,0.001604,0.001604,0.001604
22,1562.24,1.28811,0.79116,1.16052,0.86881,0.82209,0.88895,0.49839,1.36628,0.86469,1.25416,0.0015842,0.0015842,0.0015842
23,1633.56,1.27901,0.82983,1.17069,0.83716,0.85517,0.88411,0.47894,1.61645,0.88234,1.38785,0.0015644,0.0015644,0.0015644
24,1704.38,1.2568,0.74309,1.14037,0.87525,0.82257,0.91026,0.54651,1.31872,0.74688,1.27487,0.0015446,0.0015446,0.0015446
25,1775.15,1.30108,0.75173,1.16806,0.91486,0.82759,0.89726,0.53476,1.35494,0.81841,1.2872,0.0015248,0.0015248,0.0015248
26,1846.14,1.2178,0.73811,1.15264,0.87244,0.88276,0.91453,0.5402,1.3694,0.81089,1.30973,0.001505,0.001505,0.001505
27,1916.83,1.23268,0.7371,1.15458,0.89706,0.85517,0.89975,0.52744,1.45557,0.80169,1.34585,0.0014852,0.0014852,0.0014852
28,1987.49,1.20042,0.74791,1.12942,0.88944,0.88774,0.91646,0.55287,1.34382,0.70248,1.31212,0.0014654,0.0014654,0.0014654
29,2058.32,1.22397,0.73678,1.15766,0.91851,0.83448,0.8806,0.50295,1.41135,0.84582,1.34543,0.0014456,0.0014456,0.0014456
30,2128.86,1.22006,0.72801,1.13829,0.90136,0.88224,0.94463,0.55546,1.41138,0.76314,1.3219,0.0014258,0.0014258,0.0014258
31,2196.84,1.28929,0.77096,1.19604,0.91547,0.82069,0.92032,0.53785,1.37388,0.76805,1.29343,0.001406,0.001406,0.001406
32,2269.07,1.1858,0.7242,1.14826,0.89707,0.84147,0.89334,0.53332,1.34306,0.70023,1.29207,0.0013862,0.0013862,0.0013862
33,2340.07,1.19263,0.69002,1.11595,0.90192,0.84828,0.90372,0.52524,1.37198,0.73796,1.28035,0.0013664,0.0013664,0.0013664
34,2409.45,1.23468,0.70136,1.13875,0.90121,0.85517,0.90973,0.53561,1.37321,0.73677,1.28929,0.0013466,0.0013466,0.0013466
35,2482.54,1.24338,0.7078,1.1484,0.94685,0.86007,0.901,0.53904,1.34719,0.71328,1.28643,0.0013268,0.0013268,0.0013268
36,2553.47,1.20318,0.67879,1.12613,0.94607,0.86897,0.9249,0.56201,1.32388,0.69634,1.28326,0.001307,0.001307,0.001307
37,2623.66,1.15229,0.6379,1.11238,0.91205,0.86897,0.91078,0.54262,1.4388,0.71655,1.33256,0.0012872,0.0012872,0.0012872
38,2690.93,1.1601,0.65264,1.11349,0.95303,0.83965,0.90911,0.55587,1.31747,0.68685,1.28501,0.0012674,0.0012674,0.0012674
39,2760.3,1.10538,0.62009,1.07807,0.90004,0.86934,0.91648,0.55402,1.368,0.69807,1.27306,0.0012476,0.0012476,0.0012476
40,2834.39,1.1661,0.64858,1.11354,0.93172,0.84138,0.91499,0.54554,1.40826,0.73993,1.29958,0.0012278,0.0012278,0.0012278
41,2906.39,1.1298,0.62957,1.08962,0.94639,0.85224,0.92437,0.5569,1.3454,0.71533,1.27633,0.001208,0.001208,0.001208
42,2978.18,1.17215,0.65504,1.12092,0.93978,0.84138,0.91238,0.51736,1.39704,0.78357,1.2842,0.0011882,0.0011882,0.0011882
43,3050.04,1.16998,0.66114,1.11129,0.88422,0.84268,0.90702,0.54391,1.334,0.77624,1.27436,0.0011684,0.0011684,0.0011684
44,3124.61,1.20525,0.66662,1.12862,0.89758,0.84618,0.90343,0.54412,1.31915,0.74148,1.28902,0.0011486,0.0011486,0.0011486
45,3199.28,1.10821,0.6242,1.07742,0.9131,0.8696,0.90932,0.55433,1.38784,0.68088,1.29136,0.0011288,0.0011288,0.0011288
46,3272.34,1.1069,0.62169,1.08877,0.86208,0.86207,0.9063,0.5429,1.36603,0.70198,1.30252,0.001109,0.001109,0.001109
47,3344.95,1.13428,0.62547,1.10194,0.87394,0.90845,0.91368,0.56194,1.37976,0.70485,1.28547,0.0010892,0.0010892,0.0010892
48,3418.81,1.10293,0.62193,1.09881,0.94842,0.86207,0.9239,0.56197,1.34526,0.71643,1.28739,0.0010694,0.0010694,0.0010694
49,3492.8,1.09982,0.60466,1.08206,0.93898,0.84904,0.89452,0.54847,1.32227,0.70666,1.27283,0.0010496,0.0010496,0.0010496
50,3564.82,1.12454,0.60448,1.1088,0.95367,0.85183,0.89855,0.55641,1.33435,0.69181,1.29769,0.0010298,0.0010298,0.0010298
51,3636.47,1.09581,0.59247,1.07182,0.94192,0.84138,0.90453,0.53205,1.45379,0.70863,1.36899,0.00101,0.00101,0.00101
52,3708.1,1.12297,0.6132,1.11417,0.89978,0.86688,0.91644,0.56183,1.34314,0.66678,1.2592,0.0009902,0.0009902,0.0009902
53,3779.79,1.09094,0.60855,1.07467,0.91855,0.88276,0.92699,0.56612,1.32815,0.66116,1.23875,0.0009704,0.0009704,0.0009704
54,3851.52,1.06474,0.59409,1.08244,0.93646,0.88276,0.93077,0.56506,1.42376,0.69258,1.3018,0.0009506,0.0009506,0.0009506
55,3923.65,1.06116,0.58396,1.07444,0.95269,0.83322,0.91159,0.57083,1.32797,0.6736,1.25015,0.0009308,0.0009308,0.0009308
56,3995.58,1.05502,0.57334,1.05412,0.95286,0.86897,0.9166,0.54046,1.47645,0.68462,1.32938,0.000911,0.000911,0.000911
57,4067.43,1.06736,0.57942,1.0809,0.92509,0.85174,0.8984,0.55101,1.3226,0.65896,1.25637,0.0008912,0.0008912,0.0008912
58,4139.25,1.01724,0.56767,1.04963,0.9313,0.84141,0.90764,0.57212,1.2963,0.67727,1.2252,0.0008714,0.0008714,0.0008714
59,4211.07,1.0491,0.56822,1.05708,0.93862,0.84366,0.9192,0.52824,1.51042,0.70926,1.32427,0.0008516,0.0008516,0.0008516
60,4282.88,1.02707,0.56578,1.05379,0.95032,0.86207,0.91219,0.55166,1.38884,0.67282,1.28894,0.0008318,0.0008318,0.0008318
61,4354.58,1.01171,0.55244,1.06299,0.9372,0.85517,0.90994,0.53864,1.45195,0.66738,1.30716,0.000812,0.000812,0.000812
62,4426.67,1.03813,0.56264,1.05883,0.92417,0.85517,0.90947,0.54078,1.42683,0.65246,1.34007,0.0007922,0.0007922,0.0007922
63,4499.35,1.03245,0.56574,1.04648,0.93398,0.87806,0.91975,0.52542,1.49829,0.66469,1.35706,0.0007724,0.0007724,0.0007724
64,4572.62,1.0222,0.54652,1.029,0.94066,0.84138,0.92383,0.57381,1.31998,0.62741,1.28236,0.0007526,0.0007526,0.0007526
65,4644.99,0.98366,0.53161,1.04335,0.9271,0.87713,0.92947,0.57421,1.33076,0.63108,1.28536,0.0007328,0.0007328,0.0007328
66,4716.15,0.99572,0.52724,1.04204,0.9159,0.90135,0.9377,0.57411,1.3368,0.6172,1.26195,0.000713,0.000713,0.000713
67,4784.96,0.97449,0.52314,1.03236,0.9253,0.85433,0.91767,0.56166,1.34848,0.63858,1.28382,0.0006932,0.0006932,0.0006932
68,4859.02,0.98082,0.52876,1.02608,0.94702,0.86289,0.93505,0.56648,1.40286,0.66579,1.3051,0.0006734,0.0006734,0.0006734
69,4928.95,0.98992,0.53101,1.04425,0.94968,0.86897,0.92861,0.57251,1.29772,0.63244,1.26835,0.0006536,0.0006536,0.0006536
70,4996.88,1.00943,0.52229,1.02796,0.96236,0.88168,0.93655,0.57757,1.26931,0.62679,1.25561,0.0006338,0.0006338,0.0006338
71,5064.59,0.98056,0.5294,1.03482,0.93194,0.84995,0.91096,0.55193,1.36764,0.6964,1.29468,0.000614,0.000614,0.000614
72,5133.39,0.9733,0.51602,1.04022,0.90469,0.85103,0.92053,0.56564,1.30473,0.64433,1.24879,0.0005942,0.0005942,0.0005942
73,5202.01,0.95306,0.51303,1.02263,0.92501,0.85077,0.9234,0.5556,1.38858,0.64338,1.27618,0.0005744,0.0005744,0.0005744
74,5271.61,0.98235,0.52533,1.03097,0.92547,0.85636,0.92486,0.56035,1.34626,0.62704,1.27349,0.0005546,0.0005546,0.0005546
75,5340.98,0.94709,0.50566,1.01438,0.89757,0.90649,0.92957,0.57266,1.32943,0.60933,1.2769,0.0005348,0.0005348,0.0005348
76,5408.95,0.94898,0.50763,1.01741,0.88432,0.89622,0.93228,0.57191,1.35974,0.617,1.29208,0.000515,0.000515,0.000515
77,5476.94,0.91627,0.49779,1.00739,0.94613,0.83448,0.92141,0.56419,1.36374,0.64532,1.29273,0.0004952,0.0004952,0.0004952
78,5544.52,0.93724,0.49393,1.02125,0.90634,0.86897,0.92548,0.55544,1.36912,0.64142,1.31671,0.0004754,0.0004754,0.0004754
79,5614,0.91011,0.49162,1.01899,0.95324,0.84353,0.92431,0.55877,1.39344,0.63601,1.32195,0.0004556,0.0004556,0.0004556
80,5685.96,0.90867,0.48171,1.00881,0.89387,0.93103,0.93666,0.56555,1.31952,0.63511,1.2844,0.0004358,0.0004358,0.0004358
81,5759.74,0.91124,0.4739,1.02349,0.86201,0.91034,0.91953,0.56629,1.37585,0.64246,1.31057,0.000416,0.000416,0.000416
82,5833.61,0.92439,0.48776,1.01205,0.93778,0.84138,0.92494,0.5583,1.41816,0.63642,1.327,0.0003962,0.0003962,0.0003962
83,5906.47,0.8977,0.47577,0.99515,0.92392,0.85517,0.92626,0.56904,1.38472,0.6048,1.30848,0.0003764,0.0003764,0.0003764
84,5979.22,0.90476,0.47965,1.00338,0.94685,0.88276,0.93344,0.57411,1.34437,0.58608,1.3015,0.0003566,0.0003566,0.0003566
85,6049.96,0.88845,0.4763,0.99456,0.94627,0.85029,0.91869,0.56827,1.33645,0.59404,1.29944,0.0003368,0.0003368,0.0003368
86,6124.4,0.88369,0.47378,1.00451,0.94305,0.85517,0.92703,0.56665,1.35421,0.6024,1.298,0.000317,0.000317,0.000317
87,6203.1,0.88298,0.46731,1.00368,0.88886,0.91034,0.93401,0.57585,1.33676,0.61581,1.28697,0.0002972,0.0002972,0.0002972
88,6278.21,0.87404,0.46441,0.99898,0.93329,0.86835,0.92997,0.57129,1.36925,0.61756,1.30151,0.0002774,0.0002774,0.0002774
89,6352.92,0.85907,0.46107,0.9872,0.86813,0.90806,0.9176,0.57485,1.35624,0.60748,1.30358,0.0002576,0.0002576,0.0002576
90,6427.96,0.87429,0.47188,0.9919,0.93328,0.86823,0.92856,0.57228,1.35716,0.59824,1.30113,0.0002378,0.0002378,0.0002378
91,6501.39,0.83088,0.43944,0.98289,0.93959,0.85517,0.92875,0.57671,1.32828,0.61435,1.29089,0.000218,0.000218,0.000218
92,6577.74,0.8164,0.42172,0.98491,0.9394,0.86207,0.92647,0.5836,1.31589,0.62107,1.29026,0.0001982,0.0001982,0.0001982
93,6652.77,0.80675,0.42015,0.98789,0.91315,0.87013,0.92544,0.58158,1.31395,0.60901,1.28749,0.0001784,0.0001784,0.0001784
94,6727.58,0.78016,0.4029,0.963,0.90661,0.87033,0.92189,0.57958,1.31296,0.61209,1.28201,0.0001586,0.0001586,0.0001586
95,6802.15,0.79956,0.40581,0.97116,0.93191,0.87586,0.93016,0.57813,1.30312,0.59831,1.27965,0.0001388,0.0001388,0.0001388
96,6875.77,0.78406,0.39927,0.97579,0.94432,0.86207,0.92958,0.57683,1.33732,0.59765,1.29019,0.000119,0.000119,0.000119
97,6948.15,0.79467,0.39279,0.97845,0.92696,0.87527,0.92299,0.57691,1.31704,0.59731,1.28574,9.92e-05,9.92e-05,9.92e-05
98,7021.63,0.78132,0.39208,0.98129,0.92509,0.88966,0.93154,0.57657,1.30232,0.59126,1.27858,7.94e-05,7.94e-05,7.94e-05
99,7088.67,0.76625,0.39438,0.9588,0.92615,0.88276,0.92501,0.57991,1.31454,0.59981,1.28166,5.96e-05,5.96e-05,5.96e-05
100,7154.92,0.75897,0.39452,0.95876,0.94587,0.87586,0.93065,0.57713,1.31588,0.59888,1.2815,3.98e-05,3.98e-05,3.98e-05
