epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.0174,1.42815,2.62086,1.23745,0.00341,0.93793,0.29039,0.1507,1.18864,3.56657,1.12319,0.00064,0.00064,0.00064
2,146.816,1.48909,1.78201,1.23467,0.25027,0.42069,0.24107,0.1008,1.55327,3.55638,1.4024,0.00128713,0.00128713,0.00128713
3,219.852,1.5287,1.75037,1.33133,0.58825,0.4237,0.45714,0.22219,1.75085,2.91525,1.55265,0.00192119,0.00192119,0.00192119
4,291.726,1.52865,1.52996,1.33479,0.52699,0.55862,0.47694,0.22782,1.76865,2.52793,1.61248,0.0019406,0.0019406,0.0019406
5,362.751,1.46746,1.31641,1.24361,0.75856,0.73103,0.76932,0.39962,1.69207,1.53289,1.5743,0.0019208,0.0019208,0.0019208
6,433.59,1.43633,1.23894,1.25523,0.75686,0.68699,0.71006,0.34061,1.6569,1.56479,1.50194,0.001901,0.001901,0.001901
7,500.32,1.43922,1.15913,1.25013,0.90981,0.66897,0.784,0.41914,1.51664,1.98763,1.35948,0.0018812,0.0018812,0.0018812
8,572.271,1.43296,1.12001,1.23591,0.61697,0.69655,0.67579,0.36514,1.52422,1.63625,1.36441,0.0018614,0.0018614,0.0018614
9,643.535,1.43504,1.08687,1.2391,0.78811,0.74483,0.81966,0.45058,1.51012,1.54231,1.3936,0.0018416,0.0018416,0.0018416
10,714.111,1.40776,0.99646,1.233,0.87512,0.77326,0.86006,0.47294,1.51866,1.31176,1.35127,0.0018218,0.0018218,0.0018218
11,785.835,1.36995,0.94852,1.19994,0.82358,0.81379,0.86898,0.48336,1.4813,0.97636,1.36137,0.001802,0.001802,0.001802
12,856.114,1.35253,0.9459,1.21062,0.86813,0.72645,0.84408,0.46119,1.56002,1.11765,1.36964,0.0017822,0.0017822,0.0017822
13,926.68,1.35684,0.8968,1.20091,0.89839,0.73173,0.86794,0.4789,1.46982,1.03318,1.35513,0.0017624,0.0017624,0.0017624
14,997.297,1.34306,0.89715,1.23798,0.85687,0.84828,0.86426,0.46,1.44881,1.15898,1.31658,0.0017426,0.0017426,0.0017426
15,1067.76,1.39128,0.92828,1.22196,0.8912,0.81379,0.88296,0.46925,1.57731,0.93591,1.40066,0.0017228,0.0017228,0.0017228
