epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6485.31,1.18395,0.67676,1.16638,0.91138,0.78621,0.89046,0.53095,1.38965,0.73362,1.31281,0.0014588,0.0014588,0.0014588
43,6639.29,1.20455,0.65436,1.15555,0.87971,0.86897,0.91941,0.54911,1.35836,0.68663,1.27698,0.0014456,0.0014456,0.0014456
44,6793.3,1.20256,0.66974,1.16381,0.83093,0.84138,0.88347,0.51823,1.42256,0.74969,1.35479,0.0014324,0.0014324,0.0014324
45,6947.43,1.17173,0.63386,1.13955,0.89682,0.77241,0.88879,0.52218,1.40424,0.70889,1.33839,0.0014192,0.0014192,0.0014192
46,7101.98,1.16216,0.65568,1.14701,0.91359,0.80212,0.88043,0.52918,1.33754,0.72691,1.33335,0.001406,0.001406,0.001406
47,7256.02,1.15424,0.63928,1.14251,0.84044,0.88276,0.89326,0.52682,1.3523,0.7051,1.29239,0.0013928,0.0013928,0.0013928
48,7410.12,1.16315,0.66519,1.14208,0.91643,0.8069,0.89278,0.53561,1.42965,0.73903,1.37045,0.0013796,0.0013796,0.0013796
49,7564,1.15403,0.64157,1.12844,0.91502,0.8069,0.88353,0.53853,1.29323,0.69141,1.29122,0.0013664,0.0013664,0.0013664
50,7718.19,1.12467,0.62266,1.13296,0.90552,0.85931,0.88976,0.53333,1.34403,0.66428,1.34134,0.0013532,0.0013532,0.0013532
51,7872.32,1.09953,0.61168,1.11084,0.93831,0.83924,0.89738,0.53599,1.32495,0.67325,1.28377,0.00134,0.00134,0.00134
52,8026.53,1.1598,0.6223,1.16373,0.92842,0.7931,0.88254,0.54748,1.32945,0.66561,1.2784,0.0013268,0.0013268,0.0013268
53,8180.72,1.16317,0.62362,1.13557,0.89208,0.84138,0.88288,0.52362,1.30759,0.69368,1.25416,0.0013136,0.0013136,0.0013136
